exp_id,condition,species_id,f1,precision,recall,scientific_name
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1420787,0.943355119825708,,,Alocasia odora (Lindl.) K.Koch
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1618661,0.8727272727272727,,,Dendrobium victoriae-reginae Loher
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1356076,0.25277777777777777,,,Tradescantia zebrina Heynh. ex Bosse
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1376703,0.4777777777777777,,,Petiveria alliacea L.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1384499,0.7566137566137566,,,Lagenaria siceraria (Molina) Standl.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1385700,0.7428571428571429,,,Barringtonia asiatica (L.) Kurz
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1392654,0.7729575163398693,,,Gomphocarpus physocarpus E.Mey.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1397598,0.8153717627401837,,,Cobaea scandens Cav.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1406486,0.4576719576719577,,,Kigelia africana (Lam.) Benth.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1406863,0.46597653554175295,,,Acalypha indica L.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1408490,0.6851851851851851,,,Pereskia grandifolia Haw.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1408557,0.51010101010101,,,Pongamia pinnata (L.) Pierre
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1409195,0.5296296296296296,,,Pereskia aculeata Mill.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1416509,0.9259259259259259,,,Nepenthes vieillardii Hook. f.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1419807,0.6,,,Vanilla planifolia Jacks. ex Andrews
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1420787,0.9411764705882352,,,Alocasia odora (Lindl.) K.Koch
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,A,1618661,0.8714285714285714,,,Dendrobium victoriae-reginae Loher
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1356076,0.29747899159663865,,,Tradescantia zebrina Heynh. ex Bosse
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1376703,0.6333333333333333,,,Petiveria alliacea L.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1384499,0.7765830346475507,,,Lagenaria siceraria (Molina) Standl.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1385700,0.6210826210826211,,,Barringtonia asiatica (L.) Kurz
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1392654,0.750191570881226,,,Gomphocarpus physocarpus E.Mey.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1397598,0.7440350877192983,,,Cobaea scandens Cav.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1406486,0.42483660130718953,,,Kigelia africana (Lam.) Benth.
