exp_id,k,p,loss,gamma,es_monitor,C,R,condition,n_seeds,rare_f1_mean,rare_f1_std,rare_recall_mean,rare_recall_std,rare_precision_mean,rare_precision_std,overall_f1_mean,overall_f1_std,overall_acc_mean,overall_acc_std
exp_0007_Cmedian_gap_pow_k1.0_p0.5_mid_focalg1.0,1.0,0.5,focal,1.0,overall_f1,121.0,96.0,C,3,0.651896722775,0.016063986725216875,0.6641778591778592,0.028485168708718134,0.654777506444173,0.004189341571674011,0.6351681019638932,0.006690309642392767,0.7211858279103399,0.00766722553394738
exp_0007_Cmedian_gap_pow_k1.0_p0.5_mid_focalg1.0,1.0,0.5,focal,1.0,overall_f1,121.0,96.0,D,3,0.6660489110608986,0.04344571850369075,0.7020173653506987,0.030660656259614748,0.6465673702515807,0.05340680897271254,0.6363863875544115,0.010697219849906221,0.7224873463485179,0.007211833775729073
exp_0008_Cmedian_gap_pow_k1.0_p0.5_mid_ce,1.0,0.5,ce,,overall_f1,121.0,96.0,A,3,0.6430049994792734,0.02902399002925224,0.6371713471713472,0.03270890239615238,0.6674321919910154,0.0422017958842655,0.6303677967975257,0.0018500741941662137,0.720173535791757,0.0008676789587852562
exp_0008_Cmedian_gap_pow_k1.0_p0.5_mid_ce,1.0,0.5,ce,,overall_f1,121.0,96.0,B,3,0.6656199975396647,0.028246140271785347,0.685366978700312,0.03004005117747982,0.6701568819706075,0.029091932820406976,0.6340051751759946,0.0072462250562139435,0.7229211858279104,0.007289708263848741
exp_0008_Cmedian_gap_pow_k1.0_p0.5_mid_ce,1.0,0.5,ce,,overall_f1,121.0,96.0,C,3,0.6501821481656362,0.027590719031281748,0.6587186270519605,0.043977145269624825,0.6690513369022142,0.028720533928473603,0.6353642506190492,0.006377952344645274,0.7226319595083153,0.004213681065606211
exp_0008_Cmedian_gap_pow_k1.0_p0.5_mid_ce,1.0,0.5,ce,,overall_f1,121.0,96.0,D,3,0.6485558224857493,0.019907549223690216,0.6820526387193055,0.004967556819589514,0.6401551545385397,0.034165817432342656,0.6424737635490056,0.004775820570399924,0.7259580621836587,0.003077917086593283
exp_0009_Cmedian_gap_pow_k1.0_p0.5_mid_focalg3.0,1.0,0.5,focal,3.0,overall_f1,121.0,96.0,A,3,0.6325843169911436,0.01316773582752683,0.6347781847781847,0.023199997034162728,0.6691524178340483,0.007520804140282799,0.6267502530782687,0.0022568585920218916,0.7142443962400579,0.0035066827629738934
exp_0009_Cmedian_gap_pow_k1.0_p0.5_mid_focalg3.0,1.0,0.5,focal,3.0,overall_f1,121.0,96.0,B,3,0.6368917359511549,0.005576784476609318,0.686266449599783,0.019652515686997118,0.6086312635140426,0.015581501082368074,0.6245689613362027,0.015119276872282886,0.7126536514822849,0.010647496823832201
exp_0009_Cmedian_gap_pow_k1.0_p0.5_mid_focalg3.0,1.0,0.5,focal,3.0,overall_f1,121.0,96.0,C,3,0.6403693908928799,0.0179833795586215,0.6606708723375391,0.02477041912711755,0.6398027898027898,0.00836485741004836,0.6283323565178546,0.007945114329636226,0.7155459146782358,0.007211833775729131
exp_0009_Cmedian_gap_pow_k1.0_p0.5_mid_focalg3.0,1.0,0.5,focal,3.0,overall_f1,121.0,96.0,D,3,0.655805604079792,0.00867747416992516,0.6854226020892688,0.009479776326763396,0.6515317391013985,0.01839519740630711,0.6342016474553626,0.008468210106469889,0.7169920462762112,0.004679302874147077
